Date,Activity,Route number,Name,Elapsed seconds,Distance (km),Pace,Weight,Steps,Notes
2022-01-14,,759536,Latona Loop corrected ,1064,3.56,4.98,157,,"48F, 3:00PM, ptly cloudy"
2022-01-12,,861961,LDS Loop,1044,3.60,4.83,,,"55F, wet, 2:10pm
"
2022-01-10,,,,1277,,,158,,"44F, drizzle, 20th to 75th"
2022-01-08,,143116,Greenlake 3k,1133,3.90,4.84,158,,"42F, gray & cool.  too fast start: 4:00 to 65th."
2022-01-06,,143114,Reservoir Basic,1006,3.40,4.93,159,,"50F, light rain"
2022-01-04,,861961,LDS Loop,1092,3.60,5.06,159,,"36F, cloudy, icy, took it easy and avoided slipping.  Long break due to cold and snow!"
2021-12-24,,242812,Greenlake out-and-back 5k,1459,4.90,4.96,158,,"41F, cloudy, took it easy, extra stop!"
2021-12-22,,143114,Reservoir Basic,1009,3.40,4.94,158,,"46F, 9:00AM, cloudy"
2021-12-20,,861961,LDS Loop,1032,3.60,4.78,158,,"37F, cloudy, 11:00AM"
2021-12-16,,653902,45th to 65th loop,911,3.08,4.93,158,,"42F, 11:25, partly sunny"
2021-12-15,,143114,Reservoir Basic,993,3.40,4.87,158,,"42F, 10:30AM, cloudy"
2021-12-13,,653902,45th to 65th loop,923,3.08,4.99,158,,"41F, cloudy, damp.  9:30AM
"
2021-12-11,,143114,Reservoir Basic,991,3.40,4.86,158,,"47F, sunny, 11:50am, 6:58 to sign."
2021-12-09,,861961,LDS Loop,1034,3.60,4.79,158,,"41F, pty cloudy, 4:00PM"
2021-12-07,,,,993,,,158,,"48F, wet, 8:30AM"
2021-12-05,,143116,Greenlake 3k,1145,3.90,4.89,158,,"40F, sunny"
2021-12-04,,143114,Reservoir Basic,1014,3.40,4.97,158,,"40F, wet, cloudy, 7:09 to sign."
2021-12-02,,861961,LDS Loop,1062,3.60,4.92,158,,"46F, damp"
2021-11-30,,143114,Reservoir Basic,983,3.40,4.82,158,,"54F, cloudy, windy, 6:59 to sign"
2021-11-28,,143116,Greenlake 3k,1166,3.90,4.98,158,,"58F, cloudy, 9:15AM, tummy full"
2021-11-26,,,,1333,,,158,,"48F, 9:45AM, 18th->20th->63rd"
2021-11-24,,861961,LDS Loop,1047,3.60,4.85,157,,"43F, 10:30AM, cloudy.  took hill easy. "
2021-11-22,,143114,Reservoir Basic,1004,3.40,4.92,158,,"47F, cloudy, 12:00PM  7:10 to sign."
2021-11-21,,143114,Reservoir Basic,999,3.40,4.89,158,,"43F, 10:30AM, cloudy"
2021-11-18,,562270,no lights local loop,1078,3.61,4.98,158,,"47F, cloudy, SE"
2021-11-16,,861961,LDS Loop,1036,3.60,4.80,158,,"47F, sunny"
2021-11-15,,143114,Reservoir Basic,993,3.40,4.87,155,,"51F,mostly sunny, stormy, 7:00 to sign."
2021-11-11,,143114,Reservoir Basic,995,3.40,4.88,157,,"48F, misty, 8:30AM, 7:04 to sign."
2021-11-09,,143116,Greenlake 3k,1124,3.90,4.80,,,"51F, sunny, windy (headwind!)"
2021-11-06,,,,1835,,,,,"58F, 11:00AM, Del Mar Beach / foggy"
2021-11-04,,,,1203,,,160,,"57F, 1:00PM, wet, like nolights-local but overshot to 50th"
2021-11-02,,861961,LDS Loop,1040,3.60,4.82,160,,"48F, cloudy, damp"
2021-10-30,,143116,Greenlake 3k,1123,3.90,4.80,159,,"51F, Sunny, 2:00pm, brew day!"
2021-10-28,,653902,45th to 65th loop,912,3.08,4.93,159,,"55F, light rain, 12:00PM"
2021-10-26,,861961,LDS Loop,1044,3.60,4.83,159,,"55F, mist/rain, 2:00PM"
2021-10-25,,,,1140,,,159,,"54F, cloudy, wet.  Run to ROTC WITH ALEC!"
2021-10-23,,143114,Reservoir Basic,993,3.40,4.87,158,,"53F, cloudy, damp."
2021-10-21,,,,1235,,,158,,"68F, partly sunny, up to 75th back down 15th."
2021-10-19,,759536,Latona Loop corrected ,1072,3.56,5.02,159,,"48F, partly sunny, dry"
2021-10-18,,861961,LDS Loop,1032,3.60,4.78,159,,"48F, 12:45pm, mostly cloudy. took easier on initial uphill."
2021-10-16,,,,1722,,,157,,"66F, partly cloudy, Kelsy Creek Park, Bellevue"
2021-10-14,,143116,Greenlake 3k,1124,3.90,4.80,157,,"47F, cloudy, 12:45pm"
2021-10-12,,653902,45th to 65th loop,909,3.08,4.92,157,,"44F, cloudy, dry, 10:15AM good caff."
2021-10-11,,,,1388,,,157,,"40F, partly cloudy, to work and back."
2021-10-09,,890710,GL up to 80th back Roosevelt ,1348,4.52,4.97,157,,"57F, cloudy, windy, 3:50 to 65th.  GL to Latona to 80th, 75th, Roosevelt"
2021-10-07,,143114,Reservoir Basic,984,3.40,4.82,157,,"55F, sunny, 1:15pm
"
2021-10-05,,653902,45th to 65th loop,896,3.08,4.85,157,,"55F, cloudy wet, 11:45AM"
2021-10-04,,143116,Greenlake 3k,1128,3.90,4.82,157,,"60F, partly cloudy, 11:40AM"
2021-10-02,,861961,LDS Loop,1020,3.60,4.72,157,,"65F, 3:10PM, slow start?"
2021-10-01,,143114,Reservoir Basic,984,3.40,4.82,157,,"60F, Sunny."
2021-09-28,,143114,Reservoir Basic,991,3.40,4.86,158,,"62F, partly sunny, 2:40pm"
2021-09-27,,861961,LDS Loop,1047,3.60,4.85,158,,"58F, 12:15pm, cloudy, pfizer booster this AM"
2021-09-25,,242812,Greenlake out-and-back 5k,1450,4.90,4.93,158,,"70F, Sunny, slow-start
"
2021-09-23,,143114,Reservoir Basic,985,3.40,4.83,158,,"64F, sunny"
2021-09-20,,759536,Latona Loop corrected ,1046,3.56,4.90,158,,"61F, sunny"
2021-09-18,,143116,Greenlake 3k,1115,3.90,4.76,159,,"61F, partly cloudy"
2021-09-16,,,,1747,,,158,,"65F, cloudy, to office and back w/ 4hr break.  Went in via Ravene and BGT"
2021-09-14,,143114,Reservoir Basic,1001,3.40,4.90,159,,"63F, cloudy, detour"
2021-09-13,,,,1285,,,160,,"66F, to office and back"
2021-09-11,,653902,45th to 65th loop,879,3.08,4.75,159,,"67F, 11:40AM"
2021-09-09,,861961,LDS Loop,1050,3.60,4.86,158,,"72F, sunny, 11:45AM, strong start."
2021-09-07,,562270,no lights local loop,1095,3.61,5.06,158,,"75F, 12:00PM, gut backed up(!?)"
2021-09-06,,242812,Greenlake out-and-back 5k,1438,4.90,4.89,157,,"10AM, 71F, 12:05 to turn. felt sluggish after turn."
2021-09-04,,143116,Greenlake 3k,1105,3.90,4.72,157,,"3:45PM, 77F, slightly hung over"
2021-09-02,,653902,45th to 65th loop,877,3.08,4.74,158,,"11:30AM, 71F, sunny beautiful, tried to keep it fun."
2021-09-01,,143114,Reservoir Basic,1004,3.40,4.92,158,,"10:15AM, 63F, sunny, construction detour.
"
2021-08-30,,861961,LDS Loop,1063,3.60,4.92,158,,"60F, 11:30AM, cloudy, consolidation, bike Rainier hike yesterday!"
2021-08-28,,143117,Greenlake 5k,1472,5.01,4.90,158,,"71F, sunny, 12:00PM"
2021-08-26,,143116,Greenlake 3k,1130,3.90,4.83,158,,"4:00PM, 68F, humid, misty, low energy at start.  Mental struggle before start."
2021-08-24,,861961,LDS Loop,999,3.60,4.63,158,,"11:30am, 70F, sunny"
2021-08-23,,143114,Reservoir Basic,993,3.40,4.87,158,,"11:30AM, 65F, Sunny, construction detours"
2021-08-21,,653902,45th to 65th loop,889,3.08,4.81,159,,"12:30PM, 65F, slow start, lots of pedestrians."
2021-08-19,,143116,Greenlake 3k,1099,3.90,4.70,159,,"69F, sunny, 3:57 to 65th"
2021-08-17,,,,1290,,,158,,"60F, cloudy, tangletown, good hills."
2021-08-16,,562270,no lights local loop,1072,3.61,4.96,159,,"63F, cloudy, breakfast in tummy?"
2021-08-14,,653902,45th to 65th loop,1019,3.08,5.51,160,,"65F, 7:30AM, jogging, low air quality (smoke AQI 70-100)"
2021-08-12,,234220,Upper Reservoir Park,1304,4.62,4.71,158,,"73F, hazy, lo mo"
2021-08-10,,562270,no lights local loop,1057,3.61,4.89,158,,"75F, sunny"
2021-08-09,,861961,LDS Loop,1040,3.60,4.82,,,"68F, cloudy, 10:00AM"
2021-08-07,,,,1502,,,160,,"72F, humid, cloudy, Ravine & BGT"
2021-08-06,,143114,Reservoir Basic,1008,3.40,4.94,160,,"64F, drizzle"
2021-08-02,,,,1300,,,160,,"Yachats, Or.  Barefoot on the beach!  Foggy.
"
2021-07-31,,,,1215,,,160,,"72F, cloudy. 11:45AM.  20th up to 75th."
2021-07-29,,143114,Reservoir Basic,977,3.40,4.79,159,,"81F, 11:30AM, sunny, 6:57 to sign"
2021-07-27,,143116,Greenlake 3k,1162,3.90,4.97,160,,"71F, sunny 9:30AM"
2021-07-26,,242812,Greenlake out-and-back 5k,1467,4.90,4.99,158,,"71F, Sunny, 9:15am, lo caf, no breakfast"
2021-07-24,,653902,45th to 65th loop,874,3.08,4.73,158,,"79F, sunny, gorgous. fast start"
2021-07-22,,861961,LDS Loop,1073,3.60,4.97,158,,"60F, sunny, felt sluggish on start.
"
2021-07-20,,143116,Greenlake 3k,1124,3.90,4.80,158,,"68F, cloudy, 10:30AM,  3:54 to 65th."
2021-07-19,,143114,Reservoir Basic,980,3.40,4.80,158,,"78F, sunny, 11:00AM Consolidation"
2021-07-17,,861961,LDS Loop,1016,3.60,4.70,159,,"69F, 10:00AM, ptly sunny"
2021-07-15,,143114,Reservoir Basic,957,3.40,4.69,158,,"59F, cloudy, 10:00AM, 6:47 to sign. "
2021-07-12,,562270,no lights local loop,1067,3.61,4.93,160,,"71F, 10:00AM, sunny. slow start?"
2021-07-10,,143117,Greenlake 5k,1500,5.01,4.99,158,,"70F, sunny, "
2021-07-08,,143114,Reservoir Basic,977,3.40,4.79,158,,"61F, 10:00AM, good energy."
2021-07-06,,861961,LDS Loop,1063,3.60,4.92,158,,"65F, ptly cldy, 10:30AM"
2021-07-05,,143114,Reservoir Basic,990,3.40,4.85,158,,"60F, cloudy, 9:00AM"
2021-07-03,,653902,45th to 65th loop,895,3.08,4.84,158,,"58F, 6:30, lo caf."
2021-06-30,,562270,no lights local loop,1122,3.61,5.19,157,,"65F, 7:00, lo caf. Consolidation"
2021-06-28,,861961,LDS Loop,1106,3.60,5.12,157,,"78F, 6:30AM, sunny, lo caf.  over 100 today.
"
2021-06-27,,143116,Greenlake 3k,1145,3.90,4.89,160,,"79F, 7:00AM, lo caf. over 100 today."
2021-06-25,,,,1234,,,,,"80F, 160, Sunny hot. GL to about 82nd, down Roos.  over 100 today."
2021-06-23,,143114,Reservoir Basic,1007,3.40,4.93,160,,"58F, 9AM Breakfast!, 7:16 to sign."
2021-06-21,,,,2400,,,160,,Actually uhill hike: Copper Creek Lake 
2021-06-18,,759536,Latona Loop corrected ,1071,3.56,5.01,158,,"68F, SE"
2021-06-16,,861961,LDS Loop,1062,3.60,4.92,159,,"67F, ptly sunny"
2021-06-14,,653902,45th to 65th loop,917,3.08,4.96,160,,"60F, Wet, first back-to-back
"
2021-06-13,,,,1217,,,160,,"65F, drizzle, Lake Wash Blvd.
"
2021-06-11,,143114,Reservoir Basic,1002,3.40,4.91,158,,"56F, drizzle, 6:59 to sign."
2021-06-09,,143117,Greenlake 5k,1503,5.01,5.00,158,,"65F, sunny"
2021-06-07,,143114,Reservoir Basic,,3.40,,159,,"55F, forgot watch. New Shoes."
2021-06-05,,143116,Greenlake 3k,1153,3.90,4.93,158,,"64F, ptly sunny, good start, 3:59 to 65th."
2021-06-03,,861961,LDS Loop,1088,3.60,5.04,159,,"79F, 3:00pm, foot better?"
2021-06-01,,143114,Reservoir Basic,1051,3.40,5.15,,,"75F (@10am!)  took easy, sore ball or R foot. "
2021-05-29,,242812,Greenlake out-and-back 5k,1480,4.90,5.03,158,,"65F, sunny, crowded(!)"
2021-05-27,,562270,no lights local loop,1086,3.61,5.02,158,,"60F, stormy"
2021-05-25,,143114,Reservoir Basic,1002,3.40,4.91,158,,"59, cloudy"
2021-05-22,,562270,no lights local loop,1082,3.61,5.00,159,,"59F, ptly sunny."
2021-05-20,,143114,Reservoir Basic,1005,3.40,4.92,159,,"50F, cloudy. 7:00 to sign."
2021-05-18,,861961,LDS Loop,1071,3.60,4.96,159,,"62F, ptly cldy , 4PM"
2021-05-15,,,,1200,4.00,5.00,159,,"70F, sunny, Gasworks Park! (estim time))

"
2021-05-13,,653902,45th to 65th loop,920,3.08,4.97,159,,"70F, Sunny, after lunch."
2021-05-11,,143116,Greenlake 3k,1145,3.90,4.89,160,,"69F, sunny, back after break for back to heal up."
2021-05-01,,,,1508,,,,,67F DelMar Beach Blvd down and back. 
2021-04-29,,,,1267,,,,,"Delmar Beach N direction. 
"
2021-04-27,,,,1830,,,,,"Torrey Pines State Reserve. Up to top 16 min, hike down, run home. (time off for sore back)"
2021-04-20,,861961,LDS Loop,1117,3.60,5.17,,,"72F, good effort."
2021-04-18,,,,1381,,,,,"60F, sunny, low caf?  (like GL5K route) lots of stops. "
2021-04-15,,861961,LDS Loop,1095,3.60,5.07,160,,"67F, sunny"
2021-04-13,,143114,Reservoir Basic,1020,3.40,5.00,160,,"53F, Sunny."
2021-04-10,,143116,Greenlake 3k,1140,3.90,4.87,158,,"47 PtlySunny, 3:55 to 65th."
2021-04-08,,143114,Reservoir Basic,998,3.40,4.89,158,,"56F, Sunny  7:03 to sign.
"
2021-04-06,,866647,Reverse Latona,1008,3.28,5.13,,,"52F Sunny
"
2021-04-04,,,,1387,,,158,,"45F, Ptly Cldy, Low Sleep, Low Mo. up to 80th via Greggs"
2021-04-02,,653902,45th to 65th loop,939,3.08,5.08,159,,"48F, cloudy, nerve tingle rear left leg.
"
2021-03-30,,861961,LDS Loop,1083,3.60,5.01,159,,"48F, sunny"
2021-03-27,,143114,Reservoir Basic,1017,3.40,4.98,159,,"46F, cloudy, consolidation, 7:01 to sign"
2021-03-22,,,,1407,,,159,,"49F, wet, thunder(!), around Greenlake (walked there w/Cyn).
"
2021-03-17,,866647,Reverse Latona,1034,3.28,5.26,159,,51F Reverse Latona. still some hamstring. 50th-Latona-65th-Roos.
2021-03-15,,143116,Greenlake 3k,1164,3.90,4.97,158,,"48F Sunny, consolodation- out of breath a 9:30????
"
2021-03-13,,143114,Reservoir Basic,1010,3.40,4.95,157,,50F Sunny
2021-03-11,,242812,Greenlake out-and-back 5k,1492,4.90,5.07,157,,"50F sunny, groggy"
2021-03-09,,143116,Greenlake 3k,1136,3.90,4.85,157,,"48F, Sunny, some slight neuroX in both legs."
2021-03-05,,861961,LDS Loop,1110,3.60,5.14,157,,"48F, cloudy
"
2021-03-03,,653902,45th to 65th loop,916,3.08,4.95,,,"45F, Sunny."
2021-02-28,,234220,Upper Reservoir Park,1453,4.62,5.24,158,,"48F, cloudy. Took it slow. no rest at top.
"
2021-02-26,,340040,Greenlake out & around,1961,6.21,5.26,160,,"45F, sunny, deliberately slow."
2021-02-23,,143114,Reservoir Basic,1041,3.40,5.10,160,,"41F, clear, 3:10 to 65th, 7:07 to sign but lost steam. 
"
2021-02-20,,,,989,,,160,,"45F, Sunny, Snow Break!, low Mo!  several stops (vaccine effect), 18th to campus to Brooklyn.

"
2021-02-11,,143114,Reservoir Basic,1057,3.40,5.18,160,,"35F, listened to seminar!  long underwear! consolidation.
"
2021-02-08,,,,1220,,,161,,"41F, ptlycldy.   Reverse Latona."
2021-02-05,,143114,Reservoir Basic,1014,3.40,4.97,160,,"48F, cloudy, low focus at start.
"
2021-02-03,,143116,Greenlake 3k,1120,3.90,4.79,160,,"45F, ptly cldy, hamstring almost perfect.  10:30AM
"
2021-02-01,,653902,45th to 65th loop,912,3.08,4.93,160,,"47F, wet. Mask hassles."
2021-01-30,,,,1220,,,160,,"48F, cldy, 55th / 18th / 45th/ 9th/Ravenna.
"
2021-01-28,,143114,Reservoir Basic,1009,3.40,4.94,160,,"45F, high clouds.  OK. 7:00 to sign. "
2021-01-25,,562270,no lights local loop,1083,3.61,5.01,160,,"45F, Sunny, before lunch."
2021-01-22,,,,1120,,,160,,"45F, Sunny, 50th/Latona/65th/12th"
2021-01-20,,143114,Reservoir Basic,999,3.40,4.89,160,,"45F, sunny, 3:08 to 65th, 7:01 to sign. "
2021-01-18,,653902,45th to 65th loop,905,3.08,4.89,160,,"45F, Sunny, hamstring improving."
2021-01-16,,143116,Greenlake 3k,1123,3.90,4.80,159,,"48F, Dry"
2021-01-14,,653902,45th to 65th loop,918,3.08,4.96,160,,"45F, sunny, improving hamstring."
2021-01-12,,143114,Reservoir Basic,1012,3.40,4.96,160,,"54F, dry, hamstring better, but legs sore from skiing Sunday"
2021-01-08,,143114,Reservoir Basic,1016,3.40,4.98,162.5,,"44F, very wet. 3:07 to 65th, 7:05 to sign."
2021-01-06,,143114,Reservoir Basic,1017,3.40,4.98,160,,"44F. Wet, cloudy, 3:08 to 65th, 7:00 to sign."
2021-01-01,,143116,Greenlake 3k,1137,3.90,4.86,164,,"48F, wet, mud, hamstring better. lo-mo."
2020-12-26,,,,920,,,159,,"47F, blustery, cloudy.
"
2020-12-20,,143114,Reservoir Basic,970,3.40,4.75,160,,"51F, cloudy.  3:05 to 65th. 6:54 to sign.  extra rest at sign. "
2020-12-11,,653902,45th to 65th loop,916,3.08,4.95,160,,"45F, cloudy. slight hamstring.
"
2020-12-08,,143114,Reservoir Basic,1009,3.40,4.94,160,,"50F. Sustainable effort (SE), 3:11 to 65th, 7:02 to sign.
"
2020-12-05,,,,1279,,,157,,"48F Sunny, hamstring better."
2020-12-02,,143114,Reservoir Basic,990,3.40,4.85,158,,"46F, Sunny, 7:08 to sign. Rest at sign(!)"
2020-11-30,,,,1182,,,157,,"49F, sunny, greek row + 8th by fwy"
2020-11-27,,143114,Reservoir Basic,1021,3.40,5.00,157,,"48F, Sunny, hamstring still sore.   Felt tough uphill.
"
2020-11-24,,653902,45th to 65th loop,911,3.08,4.93,157,,"45F, felt good, bad foot placement hurt hamstring (due to garbage cans!)"
2020-11-21,,,,1220,,,157,,"50F, sunny, lo-mo. to 20th & 75th."
2020-11-19,,,,1230,,,,,"45F, cldy dry, N Greenlake ramble.
"
2020-11-16,,143114,Reservoir Basic,1027,3.40,5.03,157,,"46F, rainy, miserable. legs of lead! hamstring better?
"
2020-11-13,,,,1223,,,158,,"50F, clear, 50th to tangletown+Ravenna. Hamstring
"
2020-11-11,,143116,Greenlake 3k,1131,3.90,4.83,158,,"48F, cloudy, L Hamstring sore. 
"
2020-11-09,,759536,Latona Loop corrected ,1078,3.56,5.05,156,,"44F, cloudy, after 8 hrs NIH panel. consolidation. Hamstring."
2020-11-07,,143114,Reservoir Basic,1002,3.40,4.91,156,,"42F, cloudy. lo-mo, felt hard. 7:00 to sign."
2020-11-05,,653902,45th to 65th loop,911,3.08,4.93,,,"49F, cloudy drizzle"
2020-11-02,,143116,Greenlake 3k,1113,3.90,4.76,157,,"60F, 3:47 to 65th. L Hamstring a little better. "
2020-10-29,,,,1224,,,159,,"55F, sunny, 4PM, L Hamstring, MASK  20th NE route. "
2020-10-27,,143116,Greenlake 3k,1115,3.90,4.76,159,,"52F, 10:30AM, clear. L Hamstring."
2020-10-24,,,,991,,,159,,"48F, ptly sunny, very lo mo. mild soreness L hamstring."
2020-10-21,,143114,Reservoir Basic,1038,3.40,5.09,159,,"47F, rain at end.  Sore L. Hamstring.  3:06 to 65th"
2020-10-19,,653902,45th to 65th loop,888,3.08,4.80,160,,"52F,2:40PM, cloudy."
2020-10-15,,143114,Reservoir Basic,972,3.40,4.76,160,,"60F, ptly cldy.  6:52 to sign"
2020-10-13,,,,1396,,,158,,"56F, cloudy, laps btwn Roosevelt & 8th NE"
2020-10-09,,,,1299,,,158,,"60F, cloudy, up to 80th "
2020-10-07,,,,1296,,,160,,57F. Run to Red Sq & Back for flu shot.
2020-10-04,,562270,no lights local loop,1091,3.61,5.04,159,,"56F, misty,fog. 7:15 to turn."
2020-09-30,,759536,Latona Loop corrected ,1049,3.56,4.91,,,"58F, 61AQI"
2020-09-24,,143116,Greenlake 3k,1103,3.90,4.71,159,,"65F, partly cloudy.  3:42 to 65th, good start."
2020-09-21,,143114,Reservoir Basic,973,3.40,4.77,159,,2-WEEK GAP due to smoke. hardly needed C-19 mask.
2020-09-04,,,,1310,,,,,"72F, sunny, 9:30AM, like GL 5k"
2020-09-02,,821295,20th to 75th Reservior Loop,1142,3.95,4.82,156,,"76F, Sunny, MASK 3:30PM"
2020-08-31,,,,1380,,,155,,"66F, sunny, b4 lunch, like GL 5k"
2020-08-29,,,,1689,,,156,,"66F, cloudy, MASK campus/BGT/Ravine"
2020-08-24,,,,1235,,,157,,"68F, Sunny, MASK 0.5 (sim to greenlake)"
2020-08-22,,143114,Reservoir Basic,1015,3.40,4.97,157,,"65F, Sunny, MASK for C19"
2020-08-20,,143116,Greenlake 3k,1108,3.90,4.73,159,,"65F, Sunny. break from RV trip"
2020-08-09,,759536,Latona Loop corrected ,1028,3.56,4.81,156,,"70F, sunny, 11:30AM, good mo"
2020-08-07,,821295,20th to 75th Reservior Loop,1210,3.95,5.10,156,,"67F, sunny. 10AM"
2020-08-04,,143114,Reservoir Basic,987,3.40,4.84,156,,"66F, cloudy, lo-mo, 6:55to sign, burned out at top."
2020-08-02,,,,1407,,,155,,"69F, very lo mo, sunny, consolidation"
2020-07-31,,143114,Reservoir Basic,967,3.40,4.74,155,,"73F, Sunny, 10AM, 6:54 to sign."
2020-07-29,,242812,Greenlake out-and-back 5k,1425,4.90,4.85,156,,"69F, Sunny, 9:00AM, good caff"
2020-07-26,,143114,Reservoir Basic,970,3.40,4.75,155,,"69F, Sunny, beautiful cutout shadows!"
2020-07-24,,143118,Reservoir 5k,1464,4.98,4.90,156,,"68F, cloudy, 10:30AM"
2020-07-22,,562270,no lights local loop,1041,3.61,4.81,156,,"68F,cloudy, 6:45 to turn"
2020-07-20,,143114,Reservoir Basic,962,3.40,4.71,,,"77F, sunny, 10:30AM"
2020-07-18,,242812,Greenlake out-and-back 5k,1435,4.90,4.88,,,"68F, sunny, 9AM."
2020-07-15,,143116,Greenlake 3k,1137,3.90,4.86,,,"75F, sunny, lo-mo"
2020-07-13,,821295,20th to 75th Reservior Loop,1178,3.95,4.97,156,,"70F, sunny"
2020-07-11,,143116,Greenlake 3k,1097,3.90,4.69,156,,"66F, ptly cloudy. 75 pushups"
2020-07-08,,821295,20th to 75th Reservior Loop,1182,3.95,4.99,156,,"68F, sunny, big lunch, new route
"
2020-07-06,,653902,45th to 65th loop,905,3.08,4.89,154,,"68F, Sunny, "
2020-07-03,,759536,Latona Loop corrected ,1029,3.56,4.82,153,,"65, sunny, (SE)"
2020-07-01,,143114,Reservoir Basic,974,3.40,4.77,154,,"66F, cloudy, lo-mo, took it easy, consolidation"
2020-06-28,,143114,Reservoir Basic,961,3.40,4.71,157,,"56F, cloudy. before lunch"
2020-06-25,,143116,Greenlake 3k,1123,3.90,4.80,157,,"74F, very lo-mo, sunny"
2020-06-21,,143114,Reservoir Basic,961,3.40,4.71,155,,"66F, cloudy, Father's Day (before lunch)"
2020-06-19,,143116,Greenlake 3k,1100,3.90,4.70,156,,"70F, sunny, lo-mo, good caff. +60pushups (4x15)"
2020-06-17,,,,,,,,,"60 pushups (20,20,10,10)"
2020-06-16,,562270,no lights local loop,1047,3.61,4.84,156,,"61F, cloudy, before lunch"
2020-06-14,,143114,Reservoir Basic,969,3.40,4.75,156,,"55F, sunny, 9:00AM"
2020-06-11,,143114,Reservoir Basic,985,3.40,4.83,156,,"58F, cloudy, 3:01 to 65th"
2020-06-08,,759536,Latona Loop corrected ,1037,3.56,4.86,155,,"56F, lo sleep, lo mo. +60pushups (tough!)"
2020-06-03,,759536,Latona Loop corrected ,1047,3.56,4.90,,,60F sunny
2020-06-01,,242812,Greenlake out-and-back 5k,1435,4.90,4.88,,,"60F, sunny, before lunch"
2020-05-30,,653902,45th to 65th loop,885,3.08,4.79,157,,"53F, light rain."
2020-05-27,,143114,Reservoir Basic,979,3.40,4.80,,,"71F, sunny afternoon."
2020-05-22,,143116,Greenlake 3k,1101,3.90,4.70,,,"63F, cloudy, consolidation, after nap. +60 pushups"
2020-05-20,,562270,no lights local loop,1038,3.61,4.80,,,"60F, cloudy, lo-mo, quick start, lunch!"
2020-05-17,,143114,Reservoir Basic,976,3.40,4.78,,,"65F, cloudy, after lunch
"
2020-05-15,,143116,Greenlake 3k,1104,3.90,4.72,156,,"65F, sunny"
2020-05-13,,,,1000,,,,,"67F, warm.  Around the neighborhood. lo-sleep"
2020-05-11,,143116,Greenlake 3k,1090,3.90,4.66,155,,"77F, warm. +60pushups night before"
2020-05-08,,143114,Reservoir Basic,942,3.40,4.62,,,"71F, sunny!  just before lunch
"
2020-05-06,,143116,Greenlake 3k,1103,3.90,4.71,,,"50F, lo-mo  +60pushups
"
2020-05-03,,759536,Latona Loop corrected ,1042,3.56,4.88,,,"51F, clear, lo-mo at first.
"
2020-04-30,,562270,no lights local loop,1104,3.61,5.10,,,"55F, lo-caf, felt wierd, slept in + 60pushups"
2020-04-27,,,,1309,4.50,4.85,155,,"62F, ran to UWECE office and back (2hr gap)"
2020-04-25,,653902,45th to 65th loop,898,3.08,4.86,,,"52F, rainy, lo-mo"
2020-04-19,,143114,Reservoir Basic,1006,3.40,4.93,,,"62F, Sunny, slow start, full gut?
"
2020-04-17,,340040,Greenlake out & around,1803,6.21,4.84,155,,"65F, cloudy, took it easy, extra stops. +60pushups "
2020-04-14,,143114,Reservoir Basic,,3.40,,157,,"57F, Timing glitch (lap mode). "
2020-04-12,,143116,Greenlake 3k,1129,3.90,4.82,,,"48F, sunny, Easter, a runner fell in front of me."
2020-04-10,,143114,Reservoir Basic,973,3.40,4.77,,,"65F !  sunny.  ""Just do another"". +60push-ups and 2 planks
"
2020-04-08,,143114,Reservoir Basic,961,3.40,4.71,157,,"57F, sunny."
2020-04-05,,653902,45th to 65th loop,875,3.08,4.73,156,,"52F, lo-mo, 1:30pm   60pushups + 2 65second planks"
2020-04-03,,143114,Reservoir Basic,1000,3.40,4.90,158,,"44F, sunny, consolidation run."
2020-04-01,,143114,Reservoir Basic,966,3.40,4.73,155,,"45F, 6:42 to sign, clear, 11:30AM. +60pushups"
2020-03-30,,143114,Reservoir Basic,963,3.40,4.72,,,"48F, sunny, 11:30AM, +60pushups & 2 65sec planks.   6:42 to sign"
2020-03-29,biking on BGT,,,,,,,,
2020-03-27,,143114,Reservoir Basic,976,3.40,4.78,156,,"43F, cloudy, 60 pushups + 2 65sec planks"
2020-03-24,,562270,no lights local loop,1065,3.61,4.92,157,,"50F, sunny, 3:10pm, + 48pushups & 3 planks"
2020-03-22,,143114,Reservoir Basic,971,3.40,4.76,,,"50F, clear, lo-mo"
2020-03-20,,143116,Greenlake 3k,1122,3.90,4.79,,,"51F, sunny, blah (COVID! nobody out)
"
2020-03-17,,234220,Upper Reservoir Park,1287,4.62,4.65,158,,50F. partly cldy. 
2020-03-16,Walk to & around Greenlake,,,,,,155,,"Beautiful crisp, sunny"
2020-03-15,Cross Country,,,135,,,155,,"Crystal Springs, beautiful!"
2020-03-13,,653902,45th to 65th loop,882,3.08,4.77,158,,"39F, wind &rain, lo-mo, yuk + 48pushups + 2 65sec planks."
2020-03-11,,143114,Reservoir Basic,980,3.40,4.80,,,"48F, belly full from lunch! ugh."
2020-03-08,Cross Country,,,10800,,,,,
2020-03-07,,143114,Reservoir Basic,967,3.40,4.74,157,,"43F, good caf. too hot before 65th? +36pushups +2 65sec planks"
2020-03-05,,143116,Greenlake 3k,1085,3.90,4.64,,,"55F, 3:00 PM"
2020-03-03,,562270,no lights local loop,1050,3.61,4.85,157,,"50F, 4:00PM, cloudy +36 pushups/ 2 60sec planks"
2020-03-01,Cross Country,,,9000,,,157,,"Hyak, nice snow, ptly cldy 32F"
